tokens,tf,tf_mean,df,idf,tf_idfs,tf_idf_mean
absoluto,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
acelerem,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
acesso,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
acordo,"[0.002959, 0.005181, 0.004854]",0.004331,3,0.75,"[0.002219, 0.003886, 0.00364]",0.003248
adenocarcinoma,"[0.0, 0.0, 0.014563]",0.004854,3,0.75,"[0.0, 0.0, 0.010922]",0.003641
adequado,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
adiante,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
ainda,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
ajustada,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
alerta,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
algum,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
alteração,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
alto,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
além,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
amianto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
analisou,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
ano,"[0.011834, 0.005181, 0.009709]",0.008908,7,0.375,"[0.004438, 0.001943, 0.003641]",0.003341
antitabaco,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
anualmente,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
análise,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
apenas,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
apesar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
aplicar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
apresentar,"[0.002959, 0.0, 0.014563]",0.005841,4,0.6,"[0.001775, 0.0, 0.008738]",0.003504
aproximadamente,"[0.002959, 0.015544, 0.004854]",0.007786,5,0.5,"[0.00148, 0.007772, 0.002427]",0.003893
após,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
assim,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
atingir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
atribuível,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
atualmente,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
aumentar,"[0.008876, 0.0, 0.004854]",0.004577,4,0.6,"[0.005326, 0.0, 0.002912]",0.002746
aumento,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
avaliado,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
avançar,"[0.0, 0.005181, 0.009709]",0.004963,3,0.75,"[0.0, 0.003886, 0.007282]",0.003723
baixa,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
baixo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
banco,"[0.0, 0.010363, 0.004854]",0.005072,3,0.75,"[0.0, 0.007772, 0.00364]",0.003804
brasil,"[0.023669, 0.015544, 0.009709]",0.016307,13,0.214286,"[0.005072, 0.003331, 0.002081]",0.003495
brasileiro,"[0.005917, 0.010363, 0.004854]",0.007045,5,0.5,"[0.002958, 0.005182, 0.002427]",0.003522
bruto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
burden,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
carcinoma,"[0.0, 0.0, 0.014563]",0.004854,3,0.75,"[0.0, 0.0, 0.010922]",0.003641
carga,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
caso,"[0.008876, 0.010363, 0.009709]",0.009649,7,0.375,"[0.003328, 0.003886, 0.003641]",0.003618
causa,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
centro,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
cidade,"[0.002959, 0.010363, 0.0]",0.004441,3,0.75,"[0.002219, 0.007772, 0.0]",0.00333
cigarro,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
cirurgia,"[0.0, 0.046632, 0.0]",0.015544,9,0.3,"[0.0, 0.01399, 0.0]",0.004663
cirurgião,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
